"","COUNTRY","DX_GROUP","LONG","LAT","YEAR_START","total","positive","prev","year","prev2"
"205","CMR","nod",9.883,5.65,1998,462,130,0.281385281385281,"1990s",28.1385281385281
"206","CMR","nod",9.957054,4.578486,2015,64,4,0.0625,"2010s",6.25
"207","CMR","nod",9.9708333,4.491111,2015,178,6,0.0337078651685393,"2010s",3.37078651685393
"208","CMR","nod",10.017686,5.153563,1996,163,74,0.45398773006135,"1990s",45.398773006135
"209","CMR","nod",10.017686,5.153563,2005,292,11,0.0376712328767123,"2000s",3.76712328767123
"210","CMR","nod",10.02918,5.11034,1996,24,17,0.708333333333333,"1990s",70.8333333333333
"211","CMR","nod",10.02918,5.11034,2005,93,5,0.0537634408602151,"2000s",5.37634408602151
"212","CMR","nod",10.02918,5.11034,2006,112,12,0.107142857142857,"2000s",10.7142857142857
"213","CMR","nod",10.02918,5.11034,2011,163,27,0.165644171779141,"2010s",16.5644171779141
"214","CMR","nod",10.043,5.107,1996,24,17,0.708333333333333,"1990s",70.8333333333333
"215","CMR","nod",10.043,5.218,1996,26,1,0.0384615384615385,"1990s",3.84615384615385
"216","CMR","nod",10.054,5.168,1996,25,9,0.36,"1990s",36
"217","CMR","nod",10.062,5.086,1996,27,16,0.592592592592593,"1990s",59.2592592592593
"218","CMR","nod",10.107,5.113,1996,27,11,0.407407407407407,"1990s",40.7407407407407
"219","CMR","nod",10.115,5.418,1996,29,7,0.241379310344828,"1990s",24.1379310344828
"220","CMR","nod",10.123,5.264,1996,27,20,0.740740740740741,"1990s",74.0740740740741
"221","CMR","nod",10.12531,5.109388,1996,27,11,0.407407407407407,"1990s",40.7407407407407
"222","CMR","nod",10.12531,5.109388,2005,98,5,0.0510204081632653,"2000s",5.10204081632653
"223","CMR","nod",10.12531,5.109388,2006,75,5,0.0666666666666667,"2000s",6.66666666666667
"224","CMR","nod",10.12531,5.109388,2011,338,36,0.106508875739645,"2010s",10.6508875739645
"225","CMR","nod",10.184626,5.161299,1996,291,136,0.467353951890034,"1990s",46.7353951890034
"226","CMR","nod",10.184626,5.161299,2005,322,23,0.0714285714285714,"2000s",7.14285714285714
"227","CMR","nod",10.18623,5.068461,1996,27,19,0.703703703703704,"1990s",70.3703703703704
"228","CMR","nod",10.18623,5.068461,2011,125,29,0.232,"2010s",23.2
"229","CMR","nod",10.205,5.016,1996,25,16,0.64,"1990s",64
